ride_month,station,lat,long,ride_count
1,Fulton St & Washington Ave,40.683048,-73.964915,739
1,Fulton St & William St,40.70955958,-74.00653609,1017
1,Garfield Pl & 8 Ave,40.6711978,-73.97484126,419
1,Graham Ave & Conselyea St,40.715143,-73.944507,899
1,Graham Ave & Grand St,40.711863,-73.944024,369
1,Graham Ave & Herbert St,40.71929301,-73.94500379,264
1,Graham Ave & Withers St,40.7169811,-73.94485918,281
1,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,2398
1,Grand Army Plaza & Plaza St West,40.6729679,-73.97087984,670
1,Grand St & Elizabeth St,40.718822,-73.99596,2777
1,Grand St & Greene St,40.72165481,-74.00234737,1389
1,Grand St & Havemeyer St,40.71286844,-73.95698119,543
1,Great Jones St,40.72743423,-73.99379025,3809
1,Greene Ave & Nostrand Ave,40.6883337,-73.950916,202
1,Greene Ave & Throop Ave,40.6894932,-73.942061,221
1,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,671
1,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,3802
1,Greenwich Ave & Charles St,40.735238,-74.000271,2373
1,Greenwich St & Hubert St,40.721319,-74.010065,1683
1,Greenwich St & W Houston St,40.728846,-74.008591,1925
1,Greenwich St & Warren St,40.71542197,-74.01121978,2133
1,Halsey St & Tompkins Ave,40.6823687,-73.944118,180
1,Hancock St & Bedford Ave,40.68216564,-73.95399026,217
1,Hanson Pl & Ashland Pl,40.685068073081773,-73.977907598018632,1886
1,Harrison St & Hudson St,40.71870987,-74.0090009,921
1,Henry St & Atlantic Ave,40.69089272,-73.99612349,797
1,Henry St & Bay St,40.6725058,-74.00494695,42
1,Henry St & Degraw St,40.6847514,-73.99917254,795
1,Henry St & Grand St,40.714215,-73.981346,1756
1,Henry St & Poplar St,40.700469,-73.991454,340
1,Henry St & W 9 St,40.6763744,-74.00324957,67
1,Hicks St & Montague St,40.69512845,-73.99595065,764
1,Hope St & Union Ave,40.71167351,-73.95141312,579
1,Howard St & Centre St,40.71910537,-73.99973337,1891
1,Hoyt St & Warren St,40.6843549,-73.98901629,163
1,Hudson St & Reade St,40.71625008,-74.0091059,1137
1,Humboldt St & Varet St,40.7031724,-73.940636,211
1,Huron St & Franklin St,40.73266,-73.95826,546
1,India St & East River,40.73165141,-73.96161892,178
1,India St & Manhattan Ave,40.73232194,-73.9550858,587
1,Jackson Ave & 46 Rd,40.74524768,-73.94733276,187
1,Jay St & Tech Pl,40.695065,-73.987167,601
1,John St & William St,40.70862144,-74.00722156,878
1,Johnson St & Gold St,40.69474881,-73.98362464,634
1,Kane St & Clinton St,40.6861758,-73.99645295,439
1,Kent Ave & N 7 St,40.720367752984551,-73.961650729179382,1160
1,Kent Ave & S 11 St,40.707644944175705,-73.968415260314941,587
1,Kingston Ave & Herkimer St,40.67890679,-73.94142771,163
1,Kiosk in a box Motivate,40.646677898897863,-74.016303420066833,35
1,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,222
1,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,299
1,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,2336
1,Lafayette Ave & Classon Ave,40.68900443,-73.96023854,441
1,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,830
1,Lafayette Ave & St James Pl,40.68851534,-73.9647628,607
1,Lafayette St & E 8 St,40.730206605299543,-73.991026282310486,2721
1,Lafayette St & Jersey St,40.724305272503322,-73.996009826660156,2867
1,Laight St & Hudson St,40.72185379,-74.00771779,527
1,Lawrence St & Willoughby St,40.69236178,-73.98631746,1185
1,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,483
1,Leonard St & Boerum St,40.70583339,-73.94644578,147
1,Leonard St & Church St,40.717571,-74.005549,1310
1,Lewis Ave & Decatur St,40.6814598,-73.934903,110
1,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,193
1,Lewis Ave & Madison St,40.686312,-73.935775,328
1,Lexington Ave & Classon Ave,40.68676793,-73.95928168,403
1,Lexington Ave & E 24 St,40.74025878,-73.98409214,2560
1,Lexington Ave & E 29 St,40.743115553764859,-73.982153534889221,2438
1,Lexington Ave & E 63 St,40.76440023,-73.96648977,1327
1,Liberty St & Broadway,40.70905623,-74.01043382,1771
1,Lispenard St & Broadway,40.71939226,-74.00247214,1659
1,Little West St & 1 Pl,40.70569254,-74.01677685,1512
1,Lorimer St & Broadway,40.70411791,-73.94818595,136
1,MacDougal St & Prince St,40.72710258,-74.00297088,2711
1,MacDougal St & Washington Sq,40.73226398,-73.99852205,1585
1,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,668
1,Madison Ave & E 82 St,40.7781314,-73.96069399,582
1,Madison Ave & E 99 St,40.789485415532148,-73.952429294586182,423
1,Madison St & Clinton St,40.71269042,-73.98776323,1053
1,Madison St & Montgomery St,40.713126,-73.984844,848
1,Maiden Ln & Pearl St,40.70706456,-74.00731853,957
1,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,194
1,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,85
1,Market St & Cherry St,40.71076228,-73.99400398,633
1,McGuinness Blvd & Eagle St,40.73555,-73.95284,470
1,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,165
1,Mercer St & Bleecker St,40.727063633483063,-73.996621370315538,2104
1,Mercer St & Spring St,40.72362738,-73.99949601,1417
1,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117,695
1,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,1398
1,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,728
